,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
1,200540,21,Fair,,11357,Queens,19,Whitestone,QN49,40.79411067,-73.81867946
56,197978,7,Good,1or2,11365,Queens,20,Queensboro Hill,QN62,40.74068684,-73.80826026
58,178601,10,Fair,,10312,Staten Island,51,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,40.53211313,-74.1561806
59,184317,5,Good,,10458,Bronx,15,Belmont,BX06,40.85677447,-73.89097861
60,200225,8,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78993607,-73.97721169
63,198121,8,Fair,,10016,Manhattan,2,Murray Hill-Kips Bay,MN20,40.74503399,-73.98253015
64,195252,5,Good,,10011,Manhattan,3,West Village,MN23,40.73599985,-73.99985935
66,205759,26,Good,,11370,Queens,22,Steinway,QN72,40.76686765,-73.89540541
67,201654,10,Good,1or2,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.68194327,-74.00410729
68,198514,18,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80230109,-73.9620798
123,193014,22,Good,,11212,Brooklyn,41,Brownsville,BK81,40.66522204,-73.92220308
124,180707,17,Fair,,11210,Brooklyn,45,Midwood,BK43,40.62700131,-73.95649259
126,192814,7,Good,,10014,Manhattan,3,West Village,MN23,40.73998079,-74.00504966
128,196765,20,Fair,,11415,Queens,29,Kew Gardens,QN60,40.70649325,-73.82961562
129,178599,13,Good,,10312,Staten Island,51,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,40.53195766,-74.15632856
130,208229,5,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78220389,-73.97237311
131,189313,2,Good,1or2,11374,Queens,29,Forest Hills,QN17,40.72877985,-73.85600425
132,208876,20,Good,,11105,Queens,22,Steinway,QN72,40.77399973,-73.91633969
133,189570,27,Fair,3or4,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66701232,-73.97646441
147,201658,32,Good,,11375,Queens,29,Forest Hills,QN17,40.715253,-73.85049293
149,186817,4,Good,,11370,Queens,22,Steinway,QN72,40.77079674,-73.89080443
150,198164,29,Good,,11355,Queens,20,Flushing,QN22,40.75195241,-73.82895529
151,196627,17,Fair,,11415,Queens,29,Kew Gardens,QN60,40.71219318,-73.82549632
152,208395,13,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78080395,-73.97613836
153,191733,4,Good,,11415,Queens,29,Kew Gardens,QN60,40.71175384,-73.82794408
154,209913,21,Good,1or2,10027,Manhattan,7,Morningside Heights,MN09,40.80907709,-73.96312072
155,194656,3,Fair,1or2,10308,Staten Island,51,Great Kills,SI54,40.5602591,-74.16264761
187,196492,37,Good,,11229,Brooklyn,46,Madison,BK44,40.60430523,-73.93644715
188,179476,9,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66826409,-73.98079837
518,180096,25,Fair,1or2,11375,Queens,29,Forest Hills,QN17,40.72217808,-73.8392081
519,208990,2,Good,1or2,11102,Queens,22,Steinway,QN72,40.77164614,-73.91826096
520,199316,9,Good,,11369,Queens,25,Jackson Heights,QN28,40.75988228,-73.87914913
521,201670,25,Good,,10470,Bronx,11,Woodlawn-Wakefield,BX62,40.90326351,-73.84751149
522,208365,21,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.781923,-73.97532346
523,198512,21,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80239611,-73.96230577
524,194654,4,Good,1or2,10308,Staten Island,51,Great Kills,SI54,40.56047015,-74.16271888
828,189514,3,Good,,11105,Queens,22,Steinway,QN72,40.78290966,-73.91203277
881,179866,10,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72392665,-73.94978382
882,192133,4,Good,1or2,11209,Brooklyn,43,Bay Ridge,BK31,40.62004591,-74.03289656
883,196677,4,Good,,11415,Queens,29,Kew Gardens,QN60,40.70689483,-73.83138941
885,189308,2,Good,1or2,11374,Queens,29,Forest Hills,QN17,40.72892773,-73.8555042
886,200371,9,Good,1or2,10036,Manhattan,4,Midtown-Midtown South,MN17,40.75715997,-73.98223654
889,194841,29,Good,,11369,Queens,21,East Elmhurst,QN27,40.76472406,-73.87020402
890,194842,31,Good,1or2,11369,Queens,21,East Elmhurst,QN27,40.76470539,-73.87037993
891,200539,11,Good,,11229,Brooklyn,46,Madison,BK44,40.60331491,-73.93710726
892,209413,21,Fair,,10305,Staten Island,50,Grasmere-Arrochar-Ft. Wadsworth,SI14,40.59660932,-74.0793197
1037,209414,22,Fair,,10305,Staten Island,50,Grasmere-Arrochar-Ft. Wadsworth,SI14,40.59655645,-74.07946455
1038,194655,4,Good,1or2,10308,Staten Island,51,Great Kills,SI54,40.56035798,-74.162681
1041,160846,44,Good,,11226,Brooklyn,40,Flatbush,BK42,40.64313169,-73.9608382
1043,161213,14,Good,,10307,Staten Island,51,Charleston-Richmond Valley-Tottenville,SI11,40.50644864,-74.25215559
1323,201646,25,Good,,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.68191318,-73.9994295
1324,201648,19,Fair,1or2,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.68181865,-73.99909101
1325,205790,3,Poor,3or4,10023,Manhattan,6,Lincoln Square,MN14,40.77984411,-73.98261058
1326,203484,15,Good,,11364,Queens,23,Oakland Gardens,QN42,40.73966589,-73.7533057
1327,203486,13,Good,,11364,Queens,23,Oakland Gardens,QN42,40.73947676,-73.75317638
1328,189573,26,Fair,3or4,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66720362,-73.97685998
1329,199040,10,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.76928414,-73.9821215
1330,179543,5,Good,,10002,Manhattan,1,Chinatown,MN27,40.72022239,-73.98989324
1331,180724,5,Good,,11238,Brooklyn,35,Prospect Heights,BK64,40.67998294,-73.96790234
1332,208366,3,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78185638,-73.97541118
1333,179988,18,Good,,11225,Brooklyn,40,Prospect Lefferts Gardens-Wingate,BK60,40.65669444,-73.9600075
1405,188276,3,Good,3or4,11692,Queens,31,Hammels-Arverne-Edgemere,QN12,40.58844827,-73.79886571
1437,191696,25,Good,,11219,Brooklyn,38,Dyker Heights,BK30,40.62551036,-73.99902609
1492,208623,18,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69007289,-73.96313539
1493,208625,22,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69013265,-73.9626243
1494,198338,10,Fair,1or2,10016,Manhattan,2,Murray Hill-Kips Bay,MN20,40.74414068,-73.9801313
1496,189671,25,Fair,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66799086,-73.97724732
1571,203485,9,Good,,11364,Queens,23,Oakland Gardens,QN42,40.73952242,-73.75320721
1572,189563,24,Fair,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66663178,-73.97567754
1573,199041,4,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.76931763,-73.98215672
1575,187316,28,Good,,11373,Queens,21,Corona,QN25,40.73819241,-73.86552333
1576,165463,7,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72704488,-73.94702198
1577,191735,4,Fair,,11415,Queens,29,Kew Gardens,QN60,40.71168968,-73.82810636
1578,208140,9,Good,,10024,Manhattan,6,Upper West Side,MN12,40.78366771,-73.97364707
1579,209419,19,Fair,,10305,Staten Island,50,Grasmere-Arrochar-Ft. Wadsworth,SI14,40.59626296,-74.0802687
1580,185930,20,Good,,11375,Queens,29,Forest Hills,QN17,40.73647762,-73.8535266
1581,189513,2,Poor,,11105,Queens,22,Steinway,QN72,40.78278112,-73.91219028
1584,161212,16,Good,,10307,Staten Island,51,Charleston-Richmond Valley-Tottenville,SI11,40.50635863,-74.25216888
1635,190937,5,Good,,10002,Manhattan,1,Chinatown,MN27,40.7142111,-73.99270449
1637,200733,9,Good,,11106,Queens,22,Astoria,QN70,40.76357898,-73.93023849
1639,201652,17,Fair,,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.68169293,-73.99864082
1699,200546,18,Good,,11357,Queens,19,Whitestone,QN49,40.79392978,-73.81946246
1700,195251,6,Fair,,10011,Manhattan,3,West Village,MN23,40.73597258,-73.99979465
1701,180592,27,Good,,11375,Queens,29,Forest Hills,QN17,40.72524305,-73.83921235
1702,184570,3,Good,,10457,Bronx,15,East Tremont,BX17,40.84728246,-73.88916606
1704,181228,18,Good,,11413,Queens,31,Springfield Gardens South-Brookville,QN03,40.66240809,-73.75627143
1705,165618,27,Good,,11214,Brooklyn,43,Bensonhurst West,BK28,40.61134491,-74.00209166
1707,208336,2,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78291731,-73.97463858
1708,208633,11,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.6903033,-73.96114981
1709,198337,11,Fair,1or2,10016,Manhattan,2,Murray Hill-Kips Bay,MN20,40.74417854,-73.9802213
1710,196108,23,Good,,11204,Brooklyn,44,Bensonhurst East,BK29,40.61303496,-73.97556604
1741,189764,3,Good,,11105,Queens,22,Steinway,QN72,40.78294203,-73.91183251
1742,192999,6,Good,1or2,11212,Brooklyn,41,Brownsville,BK81,40.66419436,-73.92109819
1743,209416,18,Fair,,10305,Staten Island,50,Grasmere-Arrochar-Ft. Wadsworth,SI14,40.59645262,-74.07974905
1745,209418,25,Good,,10305,Staten Island,50,Grasmere-Arrochar-Ft. Wadsworth,SI14,40.59629687,-74.08017581
1746,192672,6,Good,,10002,Manhattan,1,Chinatown,MN27,40.71875645,-73.99061002
1747,208282,6,Good,,11377,Queens,26,Woodside,QN63,40.75514894,-73.90696549
1748,208614,17,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.68989697,-73.96463798
1766,179540,43,Good,,11358,Queens,19,Auburndale,QN48,40.76274413,-73.78707533
1786,165617,23,Good,,11214,Brooklyn,43,Bensonhurst West,BK28,40.6110437,-74.00240823
1788,200548,22,Good,,11357,Queens,19,Whitestone,QN49,40.7938573,-73.81977621
1789,199042,13,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.7693758,-73.98215831
1790,196719,11,Fair,,11222,Brooklyn,33,Greenpoint,BK76,40.72856177,-73.95674485
1791,194815,24,Poor,,10308,Staten Island,51,Great Kills,SI54,40.55840585,-74.16415001
1792,196487,34,Good,,11229,Brooklyn,46,Madison,BK44,40.6039722,-73.93607597
1793,179990,13,Good,,11225,Brooklyn,40,Prospect Lefferts Gardens-Wingate,BK60,40.6568865,-73.96005292
1794,182749,12,Good,,11217,Brooklyn,39,Park Slope-Gowanus,BK37,40.67877309,-73.97876422
1795,203522,17,Good,,11375,Queens,29,Forest Hills,QN17,40.71834609,-73.85118095
1796,189518,2,Good,,11105,Queens,22,Steinway,QN72,40.78315068,-73.91173744
1797,192343,4,Good,,11415,Queens,29,Kew Gardens,QN60,40.70804316,-73.82775783
1798,185408,3,Fair,1or2,10457,Bronx,15,Claremont-Bathgate,BX01,40.85415041,-73.89356281
1799,188848,20,Good,1or2,11217,Brooklyn,39,Park Slope-Gowanus,BK37,40.67448408,-73.97219693
1818,189575,27,Fair,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66742347,-73.97731458
1832,161214,11,Good,,10307,Staten Island,51,Charleston-Richmond Valley-Tottenville,SI11,40.50655501,-74.25213989
1834,208628,14,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69019558,-73.96208612
1835,181638,22,Good,1or2,11414,Queens,32,Lindenwood-Howard Beach,QN57,40.65090567,-73.83209969
1836,156152,11,Good,,11226,Brooklyn,40,Flatbush,BK42,40.64109629,-73.95636437
1837,206405,7,Good,,11370,Queens,22,Steinway,QN72,40.76804016,-73.89325925
1838,206524,4,Fair,1or2,11103,Queens,26,Astoria,QN70,40.75851112,-73.91926268
1839,160781,10,Good,1or2,10009,Manhattan,2,East Village,MN22,40.72910958,-73.97956172
1840,160782,10,Good,1or2,10009,Manhattan,2,East Village,MN22,40.72906345,-73.9794526
1841,198510,27,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80248808,-73.96252446
1842,196470,25,Good,,11229,Brooklyn,46,Madison,BK44,40.60282917,-73.93480205
1843,196485,34,Good,,11229,Brooklyn,46,Madison,BK44,40.60378225,-73.93586427
1844,179858,6,Good,,11375,Queens,29,Forest Hills,QN17,40.72057354,-73.83723305
1845,179992,17,Good,,11225,Brooklyn,40,Prospect Lefferts Gardens-Wingate,BK60,40.6570837,-73.96009956
1846,160955,15,Good,,10307,Staten Island,51,Charleston-Richmond Valley-Tottenville,SI11,40.50768843,-74.25127778
1847,200633,20,Good,,11357,Queens,19,Whitestone,QN49,40.79330055,-73.81876223
1848,208621,13,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.68999615,-73.96379118
1849,186225,19,Fair,,10457,Bronx,15,Mount Hope,BX41,40.85359984,-73.89744197
1850,208721,9,Good,1or2,11205,Brooklyn,35,Clinton Hill,BK69,40.69148609,-73.9688768
1851,189669,29,Good,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66778779,-73.9774164
1880,208616,14,Fair,,11205,Brooklyn,35,Clinton Hill,BK69,40.68992127,-73.96443055
1881,196773,4,Good,,10002,Manhattan,1,Chinatown,MN27,40.71337314,-73.99258531
1882,194576,4,Good,1or2,10128,Manhattan,4,Upper East Side-Carnegie Hill,MN40,40.78362693,-73.95734472
1883,186220,23,Fair,,10457,Bronx,15,Mount Hope,BX41,40.8533199,-73.89762116
1884,186222,20,Fair,,10457,Bronx,15,Mount Hope,BX41,40.85343197,-73.89754942
1885,200562,12,Good,,11229,Brooklyn,46,Madison,BK44,40.60355332,-73.93722722
1886,189262,26,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67251915,-73.97583386
1887,208750,14,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69184503,-73.96617512
1890,187458,11,Good,,11368,Queens,21,Corona,QN25,40.74135153,-73.86680792
1919,209824,15,Good,1or2,10027,Manhattan,7,Morningside Heights,MN09,40.81089603,-73.9617956
1920,179725,10,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72669266,-73.95149845
1921,179859,6,Good,,11375,Queens,29,Forest Hills,QN17,40.72053733,-73.83735388
1922,179991,14,Good,,11225,Brooklyn,40,Prospect Lefferts Gardens-Wingate,BK60,40.65697456,-73.96007375
1923,204042,6,Good,1or2,11211,Brooklyn,34,East Williamsburg,BK90,40.71555779,-73.93873688
1924,208618,17,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.68996234,-73.96407986
1925,208620,10,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.68998546,-73.96388241
1926,208635,13,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69032764,-73.96093802
1927,178068,23,Good,,11362,Queens,19,Douglas Manor-Douglaston-Little Neck,QN45,40.76215484,-73.73783608
1928,186226,19,Fair,,10457,Bronx,15,Mount Hope,BX41,40.85365489,-73.89740674
1929,185405,2,Fair,1or2,10457,Bronx,15,Claremont-Bathgate,BX01,40.85421884,-73.89376405
1930,208720,9,Good,1or2,11205,Brooklyn,35,Clinton Hill,BK69,40.69147969,-73.9687032
1931,208167,10,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78293778,-73.97367039
1932,209003,32,Good,,11102,Queens,22,Steinway,QN72,40.77261859,-73.91802682
1975,198500,19,Fair,,11355,Queens,20,Flushing,QN22,40.753413,-73.82756523
1976,200304,11,Good,,10024,Manhattan,6,Upper West Side,MN12,40.789835,-73.97621435
1978,189093,2,Good,,11374,Queens,29,Forest Hills,QN17,40.72960533,-73.85580534
1979,198485,12,Poor,,11354,Queens,20,Flushing,QN22,40.7702426,-73.82869068
1981,199671,12,Good,,10023,Manhattan,6,Upper West Side,MN12,40.78055618,-73.98145427
1982,189661,4,Good,1or2,11205,Brooklyn,35,Clinton Hill,BK69,40.69352978,-73.96574236
1984,173681,4,Good,,11249,Brooklyn,33,Williamsburg,BK72,40.70683915,-73.96426954
1985,212290,19,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83301527,-73.94564056
2066,180520,29,Good,,11375,Queens,29,Forest Hills,QN17,40.72418553,-73.84244165
2067,184389,2,Good,,10460,Bronx,15,East Tremont,BX17,40.84766506,-73.88572165
2068,185929,23,Good,,11375,Queens,29,Forest Hills,QN17,40.73642735,-73.85369681
2069,208634,12,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69031567,-73.96104213
2070,191209,16,Good,,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.67694661,-74.00069481
2139,209037,24,Good,1or2,11232,Brooklyn,38,Sunset Park West,BK32,40.66235675,-73.99582739
2140,200264,23,Good,,11357,Queens,19,Whitestone,QN49,40.79359746,-73.81779572
2142,200683,9,Good,,11355,Queens,20,Flushing,QN22,40.75547473,-73.83442856
2296,198336,13,Fair,1or2,10016,Manhattan,2,Murray Hill-Kips Bay,MN20,40.74421095,-73.98029836
2297,165414,7,Good,1or2,10460,Bronx,18,West Farms-Bronx River,BX08,40.83599773,-73.86691494
2298,209202,16,Good,,11105,Queens,22,Steinway,QN72,40.7740189,-73.9149056
2299,206517,3,Good,1or2,11103,Queens,26,Astoria,QN70,40.75747107,-73.920109
2301,206519,3,Good,1or2,11103,Queens,26,Astoria,QN70,40.75782211,-73.91982335
2302,208166,10,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78297571,-73.97376081
2303,209268,7,Good,,11237,Brooklyn,37,Bushwick North,BK77,40.7023462,-73.91536722
2304,173761,10,Fair,,10308,Staten Island,51,Great Kills,SI54,40.54943152,-74.1496442
2305,195923,23,Good,1or2,11217,Brooklyn,35,Fort Greene,BK68,40.68700583,-73.97569482
2306,195628,17,Good,,10461,Bronx,13,Schuylerville-Throgs Neck-Edgewater Park,BX52,40.84343709,-73.83410995
2308,211742,9,Fair,3or4,10032,Manhattan,7,Washington Heights South,MN36,40.83972275,-73.94235337
2309,209834,5,Fair,1or2,10027,Manhattan,7,Morningside Heights,MN09,40.81010258,-73.96237155
2310,156154,16,Fair,,11226,Brooklyn,40,Flatbush,BK42,40.64088779,-73.95616
2319,170922,22,Good,,11226,Brooklyn,40,Erasmus,BK95,40.64802329,-73.95582985
2320,208447,17,Good,,11358,Queens,19,Murray Hill,QN51,40.76843052,-73.79728574
2321,211116,32,Fair,,11105,Queens,22,Steinway,QN72,40.77427872,-73.91488844
2322,189670,32,Fair,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66787263,-73.97734576
2323,209008,16,Good,,11232,Brooklyn,38,Sunset Park West,BK32,40.66137121,-73.99685646
2331,203301,16,Good,,11106,Queens,22,Astoria,QN70,40.76404797,-73.92770989
2335,182520,27,Good,1or2,11217,Brooklyn,39,Park Slope-Gowanus,BK37,40.67854237,-73.97592286
2336,199057,19,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.77016368,-73.98212643
2396,178626,8,Fair,1or2,10016,Manhattan,4,Murray Hill-Kips Bay,MN20,40.74739401,-73.97887588
2397,208617,9,Poor,,11205,Brooklyn,35,Clinton Hill,BK69,40.68994923,-73.96419177
2398,208624,6,Fair,,11205,Brooklyn,35,Clinton Hill,BK69,40.69008114,-73.96306482
2399,165647,6,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72779644,-73.94717977
2400,186221,18,Fair,,10457,Bronx,15,Mount Hope,BX41,40.85337519,-73.89758576
2401,193416,9,Good,,11372,Queens,25,Jackson Heights,QN28,40.74867892,-73.88689488
2402,208449,22,Good,,11358,Queens,19,Murray Hill,QN51,40.76809204,-73.79733252
2469,209201,13,Good,,11105,Queens,22,Steinway,QN72,40.77396247,-73.91482573
2471,208172,17,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78268257,-73.97306217
2473,211798,4,Fair,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78550341,-73.9787489
2475,195622,2,Good,1or2,10461,Bronx,13,Schuylerville-Throgs Neck-Edgewater Park,BX52,40.84344231,-73.83343882
2476,193107,10,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80283627,-73.96555738
2479,199673,13,Good,,10023,Manhattan,6,Upper West Side,MN12,40.78061789,-73.98143677
2480,211748,3,Fair,3or4,10032,Manhattan,7,Washington Heights South,MN36,40.83929011,-73.94152271
2481,209519,19,Good,,10306,Staten Island,50,Oakwood-Oakwood Beach,SI25,40.55870737,-74.11498873
2522,208724,6,Good,1or2,11205,Brooklyn,35,Clinton Hill,BK69,40.69150196,-73.96930722
2523,189136,18,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66829808,-73.98690791
2524,211114,29,Good,,11105,Queens,22,Steinway,QN72,40.77453235,-73.91457863
2525,189261,8,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67245252,-73.97588974
2526,176468,12,Good,1or2,11418,Queens,29,Kew Gardens,QN60,40.70394117,-73.83431324
2527,206402,5,Good,,11370,Queens,22,Steinway,QN72,40.76751001,-73.89316251
2529,201822,17,Fair,,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.6823191,-73.99851703
2531,211350,28,Good,,11238,Brooklyn,35,Clinton Hill,BK69,40.68428482,-73.96600473
2533,200500,21,Fair,,11375,Queens,29,Forest Hills,QN17,40.71654347,-73.85759755
2571,212284,15,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83318211,-73.94547935
2572,212291,9,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83297141,-73.94563334
2622,199039,11,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.76922212,-73.98211981
2838,178246,8,Good,1or2,11207,Brooklyn,37,Cypress Hills-City Line,BK83,40.68070308,-73.89148036
2839,189310,2,Good,1or2,11374,Queens,29,Forest Hills,QN17,40.72888845,-73.85563703
2841,191463,35,Fair,,11415,Queens,29,Kew Gardens,QN60,40.71268228,-73.83191696
2842,194840,18,Good,1or2,11369,Queens,21,East Elmhurst,QN27,40.76473862,-73.87006673
2843,203214,21,Good,,11211,Brooklyn,33,Williamsburg,BK72,40.70767635,-73.95686003
2844,196144,18,Good,,11415,Queens,29,Kew Gardens,QN60,40.70460889,-73.82989069
2846,201659,41,Good,,11375,Queens,29,Forest Hills,QN17,40.71517881,-73.85053988
2847,193000,6,Good,1or2,11212,Brooklyn,41,Brownsville,BK81,40.66412893,-73.92108116
2848,198515,19,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80223836,-73.96193064
2850,191732,5,Good,,11415,Queens,29,Kew Gardens,QN60,40.71179838,-73.82783141
2910,198221,22,Good,,11355,Queens,20,Flushing,QN22,40.75166997,-73.82947352
2911,208874,27,Fair,,11105,Queens,22,Steinway,QN72,40.77379389,-73.91659036
2912,180094,14,Good,1or2,11375,Queens,29,Forest Hills,QN17,40.72210552,-73.83945281
2913,199046,7,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.76950917,-73.98216195
2917,196631,14,Poor,,11415,Queens,29,Kew Gardens,QN60,40.71258814,-73.82645243
2918,200636,11,Good,1or2,11357,Queens,19,Whitestone,QN49,40.79340631,-73.81830401
2919,179937,28,Good,,11432,Queens,24,Jamaica Estates-Holliswood,QN06,40.72712323,-73.78587014
3012,181886,18,Good,,11235,Brooklyn,48,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,40.57584,-73.95176823
3013,190278,9,Fair,1or2,10021,Manhattan,4,Lenox Hill-Roosevelt Island,MN31,40.77274745,-73.95825318
3014,196494,36,Good,,11229,Brooklyn,46,Madison,BK44,40.60443869,-73.93659591
3015,188273,2,Good,1or2,11692,Queens,31,Hammels-Arverne-Edgemere,QN12,40.5886502,-73.79870121
3016,188274,3,Fair,1or2,11692,Queens,31,Hammels-Arverne-Edgemere,QN12,40.58856905,-73.79876731
3017,178628,8,Good,3or4,10016,Manhattan,4,Murray Hill-Kips Bay,MN20,40.74725406,-73.97897864
3166,208873,23,Fair,,11105,Queens,22,Steinway,QN72,40.77367929,-73.91672993
3167,180095,10,Fair,1or2,11375,Queens,29,Forest Hills,QN17,40.72214778,-73.83931029
3168,180097,25,Good,1or2,11375,Queens,29,Forest Hills,QN17,40.72221596,-73.83908037
3266,191756,25,Good,1or2,11231,Brooklyn,39,Carroll Gardens-Columbia Street-Red Hook,BK33,40.67822433,-73.99953199
3270,199059,16,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.77023559,-73.98212772
3272,200197,4,Good,1or2,10314,Staten Island,50,New Springville-Bloomfield-Travis,SI05,40.58888433,-74.1894572
3274,182798,11,Good,1or2,11105,Queens,22,Steinway,QN72,40.76832238,-73.90347348
3275,204190,10,Good,,11211,Brooklyn,34,East Williamsburg,BK90,40.71524926,-73.93602511
3277,199044,12,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.76944551,-73.98216021
3317,204372,6,Good,1or2,11211,Brooklyn,34,East Williamsburg,BK90,40.71654756,-73.93690992
3318,208341,10,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78277082,-73.97474526
3319,190289,28,Good,,10309,Staten Island,51,Annadale-Huguenot-Prince's Bay-Eltingville,SI01,40.51779384,-74.19459235
3320,198511,21,Good,,10025,Manhattan,7,Morningside Heights,MN09,40.80244289,-73.96241701
3321,191734,4,Fair,,11415,Queens,29,Kew Gardens,QN60,40.71172195,-73.82802474
3322,208141,10,Good,,10024,Manhattan,6,Upper West Side,MN12,40.7837096,-73.97374616
3323,209911,5,Good,1or2,10027,Manhattan,7,Morningside Heights,MN09,40.80919195,-73.96307592
3324,178625,7,Fair,1or2,10016,Manhattan,4,Murray Hill-Kips Bay,MN20,40.74747069,-73.97881957
3326,196107,25,Good,,11204,Brooklyn,44,Bensonhurst East,BK29,40.61298304,-73.97548033
3328,205074,12,Good,,11415,Queens,29,Kew Gardens,QN60,40.70284012,-73.83173816
3329,208748,22,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69187032,-73.96595257
3395,180524,18,Good,1or2,11105,Queens,22,Steinway,QN72,40.77760663,-73.90275838
3396,180526,5,Good,1or2,11105,Queens,22,Steinway,QN72,40.77775298,-73.90262667
3397,205760,23,Good,,11370,Queens,22,Steinway,QN72,40.76684946,-73.89523014
3398,179741,11,Good,,11375,Queens,29,Forest Hills,QN17,40.72134701,-73.83686252
3399,189516,2,Good,,11105,Queens,22,Steinway,QN72,40.78304021,-73.9118728
3400,205109,15,Good,1or2,11238,Brooklyn,35,Clinton Hill,BK69,40.68295349,-73.96687055
3402,193062,9,Good,1or2,11229,Brooklyn,48,Madison,BK44,40.60922865,-73.94990386
3421,184208,3,Good,1or2,10457,Bronx,15,Mount Hope,BX41,40.85436263,-73.89927759
3423,199055,16,Good,,10023,Manhattan,3,Lincoln Square,MN14,40.77008958,-73.98212511
3425,203803,8,Good,1or2,10025,Manhattan,6,Upper West Side,MN12,40.79938844,-73.97131843
3426,205832,18,Fair,,11234,Brooklyn,46,Flatlands,BK58,40.62998216,-73.92409452
3427,192239,33,Good,,11412,Queens,27,St. Albans,QN08,40.6934934,-73.75302113
3428,200227,10,Good,3or4,10024,Manhattan,6,Upper West Side,MN12,40.7897542,-73.97734314
3429,194843,29,Good,1or2,11369,Queens,21,East Elmhurst,QN27,40.76468536,-73.8705687
3430,189763,4,Good,1or2,11105,Queens,22,Steinway,QN72,40.78298428,-73.91178093
3431,200552,24,Fair,,11357,Queens,19,Whitestone,QN49,40.79370451,-73.82043758
3432,209126,4,Good,1or2,11105,Queens,22,Steinway,QN72,40.77750945,-73.92245057
3433,189388,9,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.66815066,-73.97531842
