,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
35686,204956,13,Good,,11211,Brooklyn,34,East Williamsburg,BK90,40.71731394,-73.94307328
35687,227397,25,Good,,11427,Queens,23,Bellerose,QN43,40.72973989,-73.73693195
35688,227398,31,Good,,11427,Queens,23,Bellerose,QN43,40.72966196,-73.73696213
35689,239294,21,Fair,1or2,11226,Brooklyn,40,Flatbush,BK42,40.6516036,-73.97003662
35690,235436,9,Fair,,10309,Staten Island,51,Rossville-Woodrow,SI32,40.54810211,-74.21930853
35691,214843,13,Poor,,11373,Queens,25,Elmhurst,QN29,40.73326,-73.87481664
35692,216834,17,Fair,,10029,Manhattan,8,East Harlem South,MN33,40.78918015,-73.9429534
35693,203098,9,Good,,11206,Brooklyn,34,East Williamsburg,BK90,40.70846954,-73.94852454
35723,212523,3,Good,,10032,Manhattan,10,Washington Heights South,MN36,40.84121865,-73.93625003
35724,217604,15,Good,1or2,11218,Brooklyn,39,Windsor Terrace,BK40,40.65086136,-73.97875662
35725,235069,38,Fair,,11218,Brooklyn,40,Flatbush,BK42,40.63641993,-73.96783547
35727,236488,14,Good,1or2,11215,Brooklyn,38,Windsor Terrace,BK40,40.65883824,-73.98313143
35734,237574,9,Fair,1or2,11231,Brooklyn,38,Carroll Gardens-Columbia Street-Red Hook,BK33,40.67546871,-74.01738021
35735,233094,33,Good,,10461,Bronx,13,Pelham Parkway,BX49,40.85738916,-73.85034239
35736,233097,23,Fair,,10461,Bronx,13,Pelham Parkway,BX49,40.85741233,-73.85006899
35737,211887,11,Good,,11377,Queens,26,Woodside,QN63,40.74330395,-73.90820652
35740,246298,3,Fair,,10013,Manhattan,3,SoHo-TriBeCa-Civic Center-Little Italy,MN24,40.72848882,-74.00876147
35742,235641,7,Good,,11414,Queens,32,Lindenwood-Howard Beach,QN57,40.65298424,-73.83431466
35743,236459,9,Fair,,10023,Manhattan,6,Lincoln Square,MN14,40.7722972,-73.98056407
35744,214113,20,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89880396,-73.84836952
35745,236484,26,Good,,11215,Brooklyn,38,Windsor Terrace,BK40,40.65905235,-73.98348806
35746,237563,13,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78487425,-73.98219869
35749,211659,4,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.90033502,-73.8455519
35750,189102,7,Good,,11374,Queens,29,Forest Hills,QN17,40.72917135,-73.85726477
35751,245283,20,Good,,11375,Queens,29,Forest Hills,QN17,40.72332456,-73.84603733
35752,245776,16,Good,,10039,Manhattan,9,Central Harlem North-Polo Grounds,MN03,40.82688913,-73.93575442
35810,217781,7,Good,1or2,11222,Brooklyn,33,Greenpoint,BK76,40.72327904,-73.94155676
35811,240184,4,Good,3or4,10028,Manhattan,4,Upper East Side-Carnegie Hill,MN40,40.77851981,-73.95723984
35812,238984,11,Good,,11218,Brooklyn,39,Windsor Terrace,BK40,40.64865001,-73.97311327
35813,211633,5,Good,1or2,10014,Manhattan,3,West Village,MN23,40.72962893,-74.00388717
35814,219226,13,Fair,1or2,11373,Queens,25,Elmhurst,QN29,40.73468946,-73.86704653
35815,240286,10,Fair,,11217,Brooklyn,33,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,40.68589513,-73.98244816
